customer_id,account_age_months,monthly_spend,contract_type,region,customer_segment,product_usage_score,support_ticket_count,avg_response_time_hours,avg_resolution_time_hours,satisfaction_score,failed_interactions,previous_escalations,renewal_due_days,renewal_status,severity_low_count,severity_medium_count,severity_high_count,severity_critical_count,risk_label
CUST-000079,38,2544.51,annual,APAC,Mid-Market,51.31,11,8.27,32.05,3.53,3,1,339,not_due,5,4,1,1,1
CUST-000080,40,5502.17,monthly,North America,Enterprise,35.09,6,6.7,27.3,4.15,2,0,251,not_due,5,1,0,0,0
CUST-000081,87,2739.31,annual,North America,Mid-Market,70.18,7,4.3,20.85,4.42,1,1,77,upcoming,4,2,1,0,0
CUST-000082,33,7559.16,annual,North America,Mid-Market,77.39,7,6.1,13.94,3.91,3,2,48,upcoming,6,1,0,0,0
CUST-000083,16,6950.56,monthly,APAC,Enterprise,44.11,6,11.62,49.37,4.06,1,0,-12,overdue,3,2,1,0,0
CUST-000084,80,1347.61,annual,APAC,SMB,83.81,2,16.47,53.35,5.0,0,0,223,not_due,2,0,0,0,0
CUST-000085,32,892.67,monthly,North America,SMB,56.26,7,3.44,15.96,4.74,1,0,325,not_due,3,3,1,0,0
CUST-000086,65,1149.67,multi_year,North America,SMB,42.4,4,8.96,30.79,4.38,2,1,14,due_soon,3,1,0,0,0
CUST-000087,73,6749.48,monthly,North America,Enterprise,70.33,15,26.91,102.11,3.26,1,1,-30,overdue,8,5,1,1,1
CUST-000088,50,2595.04,annual,Europe,Mid-Market,65.38,5,6.85,15.79,4.39,2,0,40,due_soon,2,3,0,0,0
CUST-000089,43,710.03,monthly,North America,SMB,59.5,8,12.83,65.6,4.07,2,2,344,not_due,2,2,3,1,1
CUST-000090,27,3148.55,annual,Europe,Mid-Market,81.29,3,4.9,21.01,5.0,1,0,118,upcoming,1,1,0,1,0
CUST-000091,27,822.3,monthly,Europe,SMB,87.66,7,9.13,39.15,5.0,1,0,148,not_due,4,2,1,0,0
CUST-000092,75,7670.33,annual,APAC,Enterprise,76.93,8,19.09,56.73,3.11,4,1,345,not_due,2,4,2,0,1
CUST-000093,55,2247.46,monthly,North America,Mid-Market,55.03,10,10.18,26.42,4.08,3,0,82,upcoming,6,4,0,0,0
CUST-000094,75,4434.16,annual,Europe,Mid-Market,37.59,9,15.05,76.02,3.9,2,0,289,not_due,1,5,2,1,0
CUST-000095,33,1669.57,annual,Europe,SMB,77.59,1,2.28,6.6,4.99,0,0,8,due_soon,0,1,0,0,0
CUST-000096,83,3697.6,multi_year,APAC,Mid-Market,72.91,2,3.24,21.22,4.77,2,0,246,not_due,1,0,0,1,0
CUST-000097,100,1017.97,annual,Europe,SMB,53.74,3,3.32,11.36,4.98,2,0,248,not_due,3,0,0,0,0
CUST-000098,20,832.89,annual,Europe,SMB,58.18,3,18.93,74.27,4.84,2,0,8,due_soon,2,1,0,0,0
CUST-000099,21,1136.36,multi_year,North America,SMB,97.45,1,9.04,26.24,4.84,0,0,336,not_due,0,1,0,0,0
CUST-000100,67,16359.82,monthly,APAC,Strategic,82.19,9,13.44,61.84,3.99,1,2,3,due_soon,5,2,2,0,1
CUST-000101,49,9602.44,annual,Europe,Enterprise,86.25,2,5.69,12.8,5.0,0,0,28,due_soon,1,1,0,0,0
CUST-000102,39,11666.37,annual,APAC,Enterprise,84.97,3,,27.35,5.0,0,0,-8,overdue,2,1,0,0,0
CUST-000103,73,964.52,annual,APAC,SMB,71.45,3,11.56,26.91,4.6,2,0,15,due_soon,3,0,0,0,0
CUST-000104,30,13719.59,monthly,Latin America,Strategic,48.42,14,5.37,34.83,4.22,1,1,325,not_due,8,4,1,1,0
CUST-000105,32,6737.4,annual,Latin America,Enterprise,68.82,8,5.91,20.7,4.31,1,2,351,not_due,3,3,2,0,0
CUST-000106,22,9998.58,annual,North America,Enterprise,78.16,7,10.61,47.56,4.71,2,0,38,due_soon,3,2,1,1,0
CUST-000107,78,4473.01,annual,North America,Mid-Market,65.06,8,4.91,12.81,5.0,0,0,113,upcoming,4,4,0,0,0
CUST-000108,19,393.66,monthly,Latin America,SMB,66.54,3,3.28,17.59,4.75,0,0,137,not_due,0,2,1,0,0
CUST-000109,73,553.45,annual,APAC,SMB,76.53,3,21.5,72.28,4.9,2,0,200,not_due,2,0,1,0,0
CUST-000110,61,11844.5,multi_year,Middle East & Africa,Enterprise,88.48,7,4.78,32.46,3.81,0,0,353,not_due,4,0,2,1,0
CUST-000111,74,2513.08,monthly,Europe,Mid-Market,78.08,6,8.82,36.17,4.87,0,3,201,not_due,3,2,1,0,0
CUST-000112,23,681.03,annual,Middle East & Africa,SMB,60.8,4,7.17,16.11,4.3,1,2,282,not_due,4,0,0,0,0
CUST-000113,42,1541.87,multi_year,North America,SMB,49.58,6,8.95,33.02,3.86,5,0,163,not_due,1,3,2,0,0
CUST-000114,27,3951.03,multi_year,Europe,Mid-Market,98.13,0,1.26,3.36,5.0,0,0,192,not_due,0,0,0,0,0
CUST-000115,95,546.6,monthly,Europe,SMB,67.51,2,9.66,38.79,4.57,2,2,321,not_due,1,0,1,0,0
CUST-000116,47,12462.94,annual,North America,Enterprise,62.05,3,10.45,41.02,4.5,1,0,341,not_due,1,0,2,0,0
CUST-000117,32,7348.53,monthly,North America,Enterprise,30.42,6,14.71,57.37,3.89,1,1,337,not_due,3,2,1,0,0
CUST-000118,27,19385.24,multi_year,North America,Enterprise,84.15,7,5.97,18.43,4.31,1,1,3,due_soon,6,0,1,0,0
CUST-000119,50,3611.5,annual,North America,Mid-Market,75.43,5,3.68,25.48,4.69,1,0,191,not_due,2,1,1,1,0
CUST-000120,33,1894.69,annual,Middle East & Africa,Mid-Market,62.3,5,14.83,,4.38,2,0,305,not_due,3,2,0,0,0
CUST-000121,35,2210.52,monthly,Middle East & Africa,Mid-Market,68.55,4,19.25,62.77,4.19,4,2,308,not_due,3,0,0,1,1
CUST-000122,41,1904.78,annual,Latin America,Mid-Market,90.97,2,3.8,15.85,4.76,0,0,167,not_due,1,1,0,0,0
CUST-000123,120,789.78,monthly,Middle East & Africa,SMB,40.48,4,4.5,11.84,4.79,1,0,89,upcoming,4,0,0,0,0
CUST-000124,45,2846.71,annual,APAC,Mid-Market,86.14,3,4.76,13.31,5.0,1,0,184,not_due,2,1,0,0,0
CUST-000125,32,821.26,annual,Latin America,SMB,51.17,3,4.52,12.16,4.77,1,0,5,due_soon,3,0,0,0,0
CUST-000126,45,2904.6,annual,North America,Mid-Market,46.93,10,7.12,42.95,3.66,3,3,273,not_due,3,4,2,1,1
CUST-000127,28,1087.51,multi_year,North America,SMB,67.44,3,9.14,24.65,4.26,3,0,171,not_due,0,3,0,0,0
CUST-000128,95,595.42,monthly,Latin America,SMB,85.26,5,6.36,24.59,,1,0,186,not_due,3,1,1,0,0
CUST-000129,66,647.32,monthly,Europe,SMB,48.8,4,16.75,67.78,3.65,2,0,47,upcoming,2,1,0,1,0
CUST-000130,19,2174.0,annual,APAC,Mid-Market,64.66,4,9.73,43.89,4.2,1,0,86,upcoming,1,1,1,1,0
CUST-000131,65,1117.55,annual,Europe,SMB,41.89,10,7.13,,3.77,1,2,70,upcoming,4,0,3,3,1
CUST-000132,51,23561.31,monthly,North America,Strategic,74.82,3,4.19,19.52,4.91,2,0,358,not_due,1,0,2,0,0
CUST-000133,59,2486.68,annual,North America,Mid-Market,52.48,8,11.35,42.82,3.89,2,0,72,upcoming,4,1,3,0,0
CUST-000134,79,691.27,annual,APAC,SMB,59.26,7,5.06,27.61,4.63,2,0,62,upcoming,3,3,0,1,0
CUST-000135,24,2494.12,annual,Europe,Mid-Market,82.31,1,5.29,12.61,4.25,1,0,48,upcoming,1,0,0,0,0
CUST-000136,42,807.06,annual,North America,SMB,55.42,9,4.0,20.5,4.5,0,0,343,not_due,4,4,1,0,0
CUST-000137,57,16881.15,monthly,Europe,Strategic,73.21,5,8.91,25.87,4.62,1,1,248,not_due,2,3,0,0,0
CUST-000138,74,2371.53,monthly,Europe,Mid-Market,67.33,5,5.77,22.15,4.79,1,1,212,not_due,1,3,0,1,0
CUST-000139,63,6675.48,annual,Europe,Enterprise,71.07,7,12.31,59.01,4.06,1,0,-9,overdue,4,1,2,0,0
CUST-000140,41,,annual,APAC,SMB,49.6,6,12.24,39.63,3.68,3,1,326,not_due,3,2,1,0,0
CUST-000141,77,4573.44,annual,Europe,Mid-Market,70.04,4,11.6,29.59,4.6,0,0,-9,overdue,4,0,0,0,0
CUST-000142,39,5893.46,multi_year,Middle East & Africa,Mid-Market,68.92,5,13.28,49.37,4.58,2,1,149,not_due,2,2,1,0,0
CUST-000143,35,13356.37,monthly,Europe,Strategic,61.37,6,5.18,28.44,4.55,2,1,210,not_due,3,2,0,1,0
CUST-000144,11,3878.81,annual,Middle East & Africa,Mid-Market,79.22,2,20.37,61.73,4.15,3,1,148,not_due,1,1,0,0,0
CUST-000145,21,5338.25,annual,Latin America,Mid-Market,45.53,7,10.77,48.18,4.13,1,0,358,,2,2,2,1,0
CUST-000146,39,483.76,monthly,Latin America,SMB,50.87,8,5.62,23.89,4.87,2,0,-7,overdue,6,1,0,1,0
CUST-000147,22,1134.98,multi_year,APAC,SMB,71.79,6,7.16,40.99,3.41,5,1,280,not_due,1,1,2,2,1
CUST-000148,15,5677.88,multi_year,Europe,Mid-Market,97.88,3,2.17,8.44,4.88,0,0,175,not_due,2,1,0,0,0
CUST-000149,25,2216.81,monthly,Europe,Mid-Market,31.22,8,3.58,17.44,4.6,0,0,-1,overdue,6,0,2,0,0
CUST-000150,100,1475.62,multi_year,Europe,SMB,75.32,5,7.82,30.19,4.6,4,0,99,upcoming,3,1,1,0,0
CUST-000151,19,,monthly,North America,Enterprise,58.94,9,6.14,24.65,4.92,1,1,28,due_soon,4,3,2,0,0
CUST-000152,20,19870.2,multi_year,North America,Enterprise,84.87,5,2.62,9.78,4.74,1,0,46,upcoming,2,2,1,0,0
CUST-000153,72,1945.19,multi_year,North America,SMB,59.81,3,2.06,11.64,5.0,0,0,262,not_due,1,1,1,0,0
CUST-000154,57,3522.63,monthly,APAC,Mid-Market,58.48,10,6.16,35.76,3.82,4,1,133,not_due,4,4,1,1,1
CUST-000155,42,855.69,annual,North America,SMB,51.72,5,5.57,24.98,5.0,1,0,133,not_due,2,1,1,1,0
CUST-000156,69,4039.95,annual,Europe,Mid-Market,59.91,4,,21.54,4.98,0,0,253,not_due,1,2,1,0,0
CUST-000157,46,633.21,monthly,North America,SMB,72.73,1,5.93,12.86,4.93,1,0,1,due_soon,0,1,0,0,0
CUST-000158,2,2432.64,annual,North America,Mid-Market,65.9,3,2.78,8.1,5.0,1,1,39,due_soon,1,2,0,0,0
CUST-000159,30,10031.76,annual,Europe,Enterprise,62.4,5,7.14,24.78,5.0,1,1,165,not_due,2,2,0,1,0
CUST-000160,120,8436.22,monthly,Latin America,Enterprise,77.2,6,8.69,36.31,4.92,2,1,309,not_due,2,2,2,0,0
CUST-000161,46,676.96,monthly,North America,SMB,100.0,1,1.94,4.56,5.0,0,1,292,not_due,1,0,0,0,0
CUST-000162,82,10479.64,monthly,Latin America,Enterprise,48.53,4,2.57,12.29,4.55,0,1,-16,overdue,2,1,1,0,0
CUST-000163,86,977.47,annual,North America,SMB,75.94,2,4.37,13.01,5.0,0,0,229,not_due,2,0,0,0,0
CUST-000164,62,608.45,annual,Europe,SMB,67.87,5,11.7,37.2,5.0,0,0,264,not_due,3,1,1,0,0
CUST-000165,43,3265.17,annual,North America,Mid-Market,85.45,2,6.67,19.81,4.72,1,0,298,not_due,2,0,0,0,0
CUST-000166,26,597.41,monthly,North America,SMB,52.65,7,7.65,32.51,3.26,3,2,281,not_due,4,1,1,1,1
CUST-000167,19,14356.51,monthly,North America,Enterprise,79.09,13,10.1,36.33,3.79,4,1,297,not_due,8,4,1,0,1
CUST-000168,84,13963.94,annual,North America,Enterprise,65.22,7,4.09,15.28,4.91,0,0,88,upcoming,3,4,0,0,0
CUST-000169,55,597.29,monthly,APAC,SMB,58.09,5,14.71,43.5,4.49,0,1,117,upcoming,5,0,0,0,0
CUST-000170,55,29036.0,annual,APAC,Strategic,73.74,11,13.15,54.63,4.33,2,1,149,not_due,4,2,5,0,1
CUST-000171,62,732.03,annual,North America,SMB,,1,3.72,11.64,5.0,1,0,341,not_due,1,0,0,0,0
CUST-000172,36,1696.63,annual,Latin America,Mid-Market,51.68,6,3.56,26.83,4.34,0,0,158,not_due,3,1,1,1,0
CUST-000173,76,510.17,annual,APAC,SMB,67.55,5,12.76,35.55,4.48,2,1,49,upcoming,4,0,1,0,0
CUST-000174,48,17980.69,multi_year,North America,Strategic,98.78,3,4.37,12.94,4.95,2,0,74,upcoming,3,0,0,0,0
CUST-000175,38,476.08,monthly,Europe,SMB,42.21,9,5.37,18.42,4.34,2,0,11,due_soon,3,6,0,0,1
CUST-000176,56,1407.23,multi_year,North America,SMB,80.02,4,11.41,45.9,4.31,1,0,265,not_due,3,1,0,0,0
CUST-000177,77,2943.63,monthly,APAC,Mid-Market,79.34,1,7.46,26.16,4.65,0,1,360,not_due,1,0,0,0,0
CUST-000178,37,14652.49,monthly,Europe,Strategic,65.51,11,6.06,21.77,4.43,1,0,220,not_due,6,4,1,0,0
CUST-000179,120,5939.93,annual,North America,Enterprise,63.04,7,9.61,37.88,3.99,1,1,-4,overdue,2,4,1,0,0
CUST-000180,19,7993.38,monthly,North America,Enterprise,62.18,7,6.21,18.12,4.41,3,0,-24,overdue,4,3,0,0,0
CUST-000181,60,13937.65,annual,North America,Enterprise,51.19,18,9.71,27.2,3.37,3,1,301,not_due,11,7,0,0,1
CUST-000182,28,17517.73,multi_year,Europe,Enterprise,68.51,11,20.18,81.7,3.78,1,1,304,not_due,4,7,0,0,0
CUST-000183,49,3580.34,annual,Europe,Mid-Market,96.01,4,4.15,14.62,4.96,0,0,144,not_due,2,2,0,0,0
CUST-000184,67,507.09,annual,Middle East & Africa,SMB,64.85,1,13.33,47.3,4.72,1,0,1,due_soon,0,1,0,0,0
CUST-000185,120,,multi_year,North America,Enterprise,72.24,3,3.81,15.15,5.0,0,0,327,not_due,1,2,0,0,0
CUST-000186,14,4098.56,annual,North America,Mid-Market,51.13,8,11.69,29.77,3.12,9,3,350,not_due,5,2,1,0,1
CUST-000187,23,954.86,monthly,North America,SMB,68.88,1,13.07,53.13,4.81,0,0,156,not_due,0,1,0,0,0
CUST-000188,61,789.0,multi_year,Europe,SMB,54.07,6,3.87,16.7,3.75,1,1,159,not_due,4,1,1,0,0
CUST-000189,78,8971.83,monthly,APAC,Enterprise,58.65,10,8.42,52.0,4.1,2,0,323,not_due,3,4,2,1,1
CUST-000190,35,748.21,monthly,Middle East & Africa,SMB,15.84,7,11.04,32.13,4.23,1,0,42,due_soon,3,2,2,0,0
CUST-000191,22,11106.53,monthly,APAC,Strategic,66.41,9,13.88,73.78,4.0,2,0,170,not_due,4,2,2,1,0
CUST-000192,62,602.32,monthly,North America,SMB,64.72,5,7.31,28.78,4.39,1,1,-1,overdue,4,1,0,0,0
CUST-000193,31,308.32,monthly,Latin America,SMB,49.24,5,8.91,26.64,4.79,1,1,78,upcoming,1,3,1,0,0
CUST-000194,92,5716.42,monthly,APAC,Enterprise,52.88,5,7.54,23.89,4.36,2,1,214,not_due,2,2,1,0,0
CUST-000195,58,919.05,annual,North America,SMB,55.38,2,14.33,34.35,4.66,1,0,-16,overdue,2,0,0,0,0
CUST-000196,61,405.29,annual,Latin America,SMB,78.42,2,4.45,20.31,4.53,1,0,48,upcoming,1,0,0,1,0
CUST-000197,85,5242.37,multi_year,APAC,Mid-Market,62.77,7,9.27,37.66,4.33,2,1,-1,overdue,5,1,0,1,0
CUST-000198,120,11051.92,monthly,APAC,Enterprise,85.44,5,12.11,54.82,3.87,3,0,115,upcoming,4,0,0,1,0
CUST-000199,25,653.28,monthly,Europe,SMB,86.29,5,7.44,38.45,4.93,2,0,92,upcoming,2,1,2,0,0
CUST-000200,39,761.48,,North America,SMB,67.94,3,2.0,6.03,4.71,1,2,247,,1,2,0,0,0
CUST-000201,92,7423.23,monthly,APAC,Enterprise,88.22,6,9.1,38.92,4.05,2,1,198,not_due,3,1,2,0,0
CUST-000202,47,41443.25,annual,Europe,Strategic,95.64,10,9.05,36.2,4.49,0,0,351,not_due,4,4,1,1,0
CUST-000203,33,3324.13,annual,Middle East & Africa,Mid-Market,73.8,4,16.92,73.74,4.32,1,0,309,not_due,2,1,1,0,0
CUST-000204,44,516.36,annual,North America,SMB,51.92,6,7.0,24.64,4.61,1,0,-16,overdue,3,2,1,0,0
CUST-000205,115,345.1,monthly,North America,SMB,68.23,3,1.21,12.46,5.0,0,0,279,not_due,1,1,0,1,0
CUST-000206,46,574.69,annual,APAC,SMB,70.84,5,5.77,31.96,4.6,1,0,60,upcoming,2,1,1,1,0
CUST-000207,66,862.76,annual,Europe,SMB,57.8,3,11.24,43.26,4.41,4,1,142,not_due,2,1,0,0,0
CUST-000208,38,2254.07,multi_year,Europe,Mid-Market,100.0,0,12.52,38.63,4.54,0,0,154,not_due,0,0,0,0,0
CUST-000209,16,568.69,monthly,APAC,SMB,72.95,7,4.23,17.93,4.42,1,0,137,not_due,2,3,2,0,0
CUST-000210,77,1664.97,,APAC,Mid-Market,46.75,4,13.29,45.58,4.01,2,1,165,not_due,3,0,1,0,0
